#{"t_start": 1607980931.0770926, "env_id": "Block-v5"}
r,l,t
-361.55925,1001,139.216291
1887.890338,783,140.974641
-451.724764,1001,143.126693
-1619.755469,952,145.18146
-159.603056,1001,147.351919
-217.464136,1001,149.515938
-1144.534744,161,149.871518
-370.812962,1001,152.026034
-245.937569,1001,154.196642
-1600.419259,751,155.841311
-600.760225,1001,158.083751
-492.797099,1001,160.253984
2314.814275,360,161.021073
-234.14903,1001,163.16931
2010.622612,778,164.833305
2275.664178,327,165.529499
2217.775832,331,166.227267
-211.437994,1001,168.396366
2184.779113,702,169.941407
2077.993671,671,171.374429
-1535.902547,793,173.08083
1915.485888,457,174.04913
2247.490815,249,174.574919
2132.96155,430,175.494398
2177.318546,408,176.369201
2269.479755,332,177.072223
2168.092462,438,178.020272
2077.640198,731,179.657858
-1227.736389,124,179.921471
-124.93495,1001,182.134888
-290.996114,1001,184.28712
2266.187128,741,185.870952
-224.345801,1001,188.139003
2266.672234,283,188.749982
2140.171032,366,189.526252
2005.447733,610,190.838275
-105.526716,1001,192.982919
34.6139,1001,195.234702
-173.060736,1001,197.382194
2062.860154,636,198.74311
159.282071,1001,200.928537
-78.193388,1001,203.161088
96.648099,1001,205.3304
-213.052256,1001,207.490349
2331.712346,249,208.033748
2403.396763,679,209.582898
2245.572397,399,210.446052
2199.212459,836,212.234709
2150.806471,589,213.500091
206.048935,1001,215.639913
2369.291045,726,217.193316
2357.474362,185,217.589246
2305.295117,284,218.189092
2374.132674,259,218.746315
2278.519961,505,219.933124
2203.613333,246,220.451844
178.739905,1001,222.602846
-1201.541303,254,223.151673
2338.726352,288,223.76925
2304.997043,281,224.367626
2309.585465,251,224.901119
2316.391751,231,225.409096
2213.40666,576,226.637228
2234.541938,382,227.479819
2307.115726,336,228.192401
2220.297994,329,228.895048
-271.252426,634,230.256908
2237.76339,254,230.792695
2098.178821,406,231.733022
2038.937014,326,232.461863
-329.81758,1001,234.599222
1992.066599,628,235.954314
2173.732973,237,236.457361
2197.931529,151,236.781205
2216.576777,249,237.30758
2201.796928,239,237.821203
2211.328717,297,238.478125
2313.473355,201,238.902652
2213.338296,399,239.752538
2213.670491,120,240.002316
2228.49894,384,240.844392
2268.064294,219,241.336908
2230.971723,310,242.025876
2035.460696,281,242.6376
2291.019706,141,242.940475
2305.055851,142,243.23854
2256.201177,329,243.951882
2213.462267,283,244.591571
2101.654322,281,245.218049
2085.015072,372,246.008013
2204.813051,255,246.547964
2161.195081,442,247.510438
2278.099393,205,247.946139
1992.916348,306,248.648927
2326.653572,188,249.089541
2251.684603,231,249.58565
2252.463125,206,250.025555
2141.072594,321,250.707864
-1088.121325,90,250.899892
2256.565631,165,251.271519
2266.15952,185,251.660326
2184.724988,260,252.209576
2222.557774,212,252.658374
1793.87092,630,254.014707
2179.61692,249,254.548394
-1161.380057,68,254.696673
2216.97995,192,255.104379
2221.418886,247,255.64063
2271.483269,174,256.014748
-108.767874,242,256.529826
1772.654633,474,257.565877
2141.620574,258,258.152835
2029.519734,188,258.583313
-1485.754496,526,259.812432
2087.003417,340,260.533696
1589.421857,791,262.212537
2276.971751,134,262.497001
2214.434736,195,262.909064
2193.402264,188,263.304294
-215.020325,203,263.737298
2106.056438,135,264.025734
-1305.845712,155,264.375614
1354.184333,911,266.378864
2219.194114,202,266.814715
2234.601484,167,267.162342
2199.549355,222,267.631155
-1146.19447,32,267.702523
2274.912657,210,268.152681
-1228.203255,57,268.274663
2189.710886,215,268.739057
2229.87534,182,269.130405
-1573.974636,262,269.68246
-1210.099602,46,269.783153
-1404.488299,158,270.115461
-1793.485412,1001,272.251884
2134.830439,188,272.653085
-1405.275496,111,272.892536
-1524.551351,175,273.265587
-1667.140798,259,273.813196
-1359.332654,120,274.064436
-535.777418,370,274.853088
1919.762919,412,275.721247
-1319.482531,160,276.063477
2128.20985,339,276.786565
2280.266775,137,277.077643
-344.98172,331,277.82313
-2017.53272,559,279.029704
-1355.38986,92,279.231017
1727.343007,427,280.12905
-526.141001,334,280.831202
-461.56935,336,281.54523
2160.072848,135,281.828456
-166.181931,54,281.941388
-1402.904182,84,282.116734
2137.677204,140,282.410695
61.838186,54,282.521002
2135.196785,130,282.796164
-63.751559,47,282.897658
-531.121024,311,283.557487
-1292.716849,90,283.748199
-16.546029,32,283.815421
2284.781521,133,284.092368
-1423.979127,229,284.576522
787.861793,762,286.18923
2048.212057,203,286.616013
-1401.847113,121,286.871162
-1306.050897,59,286.995756
-1444.168435,91,287.187508
-1780.017004,242,287.698889
-21.421109,214,288.154615
1902.923864,160,288.48839
-1422.36948,131,288.762951
-1317.161183,114,289.002369
2088.738023,176,289.369708
-517.990277,283,289.999574
-417.263508,354,290.775269
-142.855285,39,290.860067
-1591.621867,199,291.273514
-1459.396285,114,291.51223
-37.820867,48,291.616129
-1904.568025,351,292.362571
1869.401867,222,292.832557
-1308.627311,85,293.01107
-583.936953,328,293.702682
-132.326409,181,294.087893
-1255.097621,68,294.236564
-1661.057152,301,294.877145
-1478.919009,147,295.183867
1903.669783,187,295.583512
-404.200244,210,296.027502
-33.628971,50,296.139161
-1798.024101,289,296.756832
-249.85383,99,296.958709
-1407.052141,76,297.121963
-23.286053,14,297.148615
2090.896832,178,297.530617
-2912.882682,796,299.259833
-1136.335329,24,299.315237
-1312.267926,87,299.513731
1593.736053,476,300.594643
-3029.075768,542,301.745524
-2174.880088,543,302.908298
-1581.559148,1001,305.028876
-2553.006643,554,306.194404
-98.209706,104,306.411251
-1822.048851,260,306.964404
-634.481253,253,307.492682
-1255.237453,25,307.546105
-184.884758,58,307.669035
-1549.906507,265,308.235798
-1299.898095,67,308.377261
-2124.578981,387,309.227269
1287.222818,529,310.395306
-1296.599772,52,310.506151
-1419.963861,107,310.73118
-1260.915627,41,310.819534
-1968.191775,468,311.814424
-1653.75642,287,312.416433
-1242.496123,59,312.540942
-1757.701014,430,313.45396
2026.065298,316,314.120727
-1638.555082,436,315.041244
-1608.74454,405,315.906591
-735.476561,1001,318.090076
-793.949577,1001,320.312984
-214.494873,1001,322.506903
-350.676289,1001,324.749829
118.074735,1001,326.922243
-1243.017013,214,327.379566
-84.629847,1001,329.544043
440.703815,1001,331.761218
141.779318,1001,333.988715
2372.557958,549,335.16483
325.489286,1001,337.314844
495.800808,1001,339.467107
2371.449416,347,340.208523
-1244.469885,47,340.31298
-17.639441,1001,342.465754
-1208.683372,789,344.176349
94.686549,1001,346.395722
2176.391012,739,347.972587
2115.824995,514,349.084294
2325.169429,295,349.709726
282.021567,1001,351.897405
569.083472,1001,354.100983
484.364733,1001,356.266299
2434.75641,360,357.043855
438.918469,1001,359.213714
2672.665882,963,361.296533
2386.7485,224,361.784676
494.491138,1001,364.003668
2386.250948,199,364.438735
2280.977705,235,364.937673
2240.639072,267,365.50798
278.289167,1001,367.671814
2417.904097,537,368.827324
405.486308,1001,371.04867
146.993171,1001,373.19601
41.629192,1001,375.337867
538.900249,1001,377.502459
2415.328133,357,378.262424
2333.119552,282,378.866321
2410.33136,428,379.834741
2256.568544,271,380.435783
2173.738491,344,381.177635
2350.595566,207,381.617648
2220.652081,324,382.309301
-1277.466352,181,382.692947
2439.829197,282,383.303964
2367.961698,190,383.70548
-1132.160229,43,383.79313
2176.418043,230,384.281728
423.334186,1001,386.457062
530.512894,1001,388.621494
443.505722,1001,390.799608
451.690747,1001,393.05601
2250.439641,347,393.798913
541.354538,1001,395.969212
2283.823362,480,397.002581
2225.845236,218,397.469045
2188.927742,270,398.054798
2347.117041,251,398.597508
2440.148828,475,399.618308
2145.459323,221,400.088343
2244.156994,215,400.553307
2184.479989,293,401.179331
2028.708236,490,402.301387
2319.843699,232,402.810034
-1215.855183,106,403.036704
-1211.807995,73,403.193632
-409.027487,1001,405.333369
2441.938991,416,406.216386
386.525655,1001,408.384771
2439.472252,235,408.889961
2322.078665,233,409.390571
2367.919802,136,409.679268
2354.512035,94,409.880818
2339.560288,163,410.224139
2370.602829,463,411.219363
153.95061,1001,413.432214
683.706852,1001,415.633987
2431.886661,193,416.049491
2416.826703,154,416.377514
720.09384,1001,418.534654
2367.188365,160,418.874576
-1251.145635,341,419.597053
2426.800945,273,420.192064
2264.904082,358,420.947989
2527.694977,414,421.842016
2403.09798,409,422.716333
179.696265,1001,424.882993
-1044.088328,681,426.362398
118.182295,1001,428.622878
-1251.275497,623,429.95905
2182.012473,188,430.358177
453.921107,1001,432.540353
458.252908,1001,434.765972
364.988007,1001,436.952656
2440.224093,453,437.925116
570.970162,1001,440.118386
2239.294583,196,440.531234
831.675853,1001,442.692447
2823.274199,795,444.471963
2441.829859,209,444.969408
679.822814,1001,447.154587
588.267087,1001,449.336144
514.541838,1001,451.50151
259.693337,1001,453.672179
536.441714,1001,455.842204
2544.167574,608,457.221234
2601.035995,448,458.17295
-1321.736235,320,458.851477
500.579518,1001,461.005112
2733.556955,572,462.248959
720.726096,1001,464.43103
182.825108,1001,466.704812
520.907604,1001,468.923322
2791.808921,616,470.263127
2562.799611,458,471.257591
425.641006,1001,473.442248
2328.744583,315,474.156046
226.653557,1001,476.350331
496.226737,1001,478.504284
57.881301,1001,480.666716
166.848833,1001,482.834056
2366.320107,213,483.29321
2453.838268,499,484.372627
2349.266447,375,485.180275
2363.717444,437,486.107544
531.459093,1001,488.279765
2190.24077,371,489.115769
2495.336488,288,489.756705
641.287713,1001,491.913187
2695.531009,666,493.343307
555.904299,1001,495.512783
2634.705766,499,496.586682
2479.246333,288,497.205857
950.232553,1001,499.391378
969.39031,1001,501.558726
2493.464033,293,502.189039
2385.13211,334,502.930115
1100.430127,1001,505.331432
2987.196,817,507.112456
2613.146989,380,507.942793
-1254.556867,337,508.664415
2264.52868,340,509.415363
2411.394456,355,510.245096
2116.60119,208,510.690801
871.713507,1001,512.894451
1162.195335,1001,515.321743
2459.582203,479,516.393331
3113.600421,990,518.764961
2565.531597,310,519.436624
2653.787101,462,520.597263
2390.950851,241,521.161001
2046.98669,261,521.818999
1096.738243,1001,524.267757
2259.507958,458,525.388029
501.630548,1001,528.228486
2600.571514,442,529.47377
2327.137709,324,530.255162
2307.060928,185,530.698018
2419.451924,150,531.051854
685.979406,1001,533.42499
2836.443465,657,535.084427
1044.729849,1001,538.278052
2680.423331,538,539.51747
2864.809203,757,541.253532
2426.630966,249,541.818005
2534.483687,386,542.67285
2770.127455,736,544.341741
2744.230613,767,546.086704
1151.798671,1001,548.799062
2208.9023,227,549.342568
1099.70678,1001,551.753402
791.530904,1001,553.975568
1188.922895,1001,556.20548
2579.43455,480,557.23773
2912.278797,652,558.750774
2751.074461,615,560.160054
830.033865,1001,562.347923
2305.011035,255,562.893194
2381.329203,213,563.352269
-1312.322082,320,564.037991
-602.799931,942,566.158367
592.386314,1001,568.355438
-1103.121828,437,569.301755
2568.135462,263,569.873781
-1075.080963,502,570.949891
2545.921317,257,571.510843
2421.150335,188,571.912937
2867.888982,565,573.178411
-1233.036289,203,573.624514
-1167.207436,176,574.008958
-1199.683032,526,575.137141
-1187.729347,71,575.288262
-1220.642851,92,575.490172
435.597437,1001,577.729696
2527.415086,473,579.001959
2395.295717,181,579.404187
2709.692482,598,580.742609
2469.321579,167,581.09564
2324.970179,193,581.512337
2343.629817,362,582.338075
2226.203936,203,582.799523
2160.516316,301,583.578102
2440.52329,412,584.469231
593.526368,1001,586.669738
2464.420197,186,587.076264
1100.075228,1001,589.306451
2424.260423,199,589.734068
2251.048696,218,590.209522
2358.643251,187,590.606435
2207.258109,329,591.35278
2345.750004,282,591.979501
2383.152635,248,592.514524
2493.690675,364,593.300002
995.309344,1001,595.684189
1003.537854,1001,597.857118
2728.299246,971,599.962348
2435.39599,297,600.609068
991.751711,1001,602.939074
1050.876501,1001,605.140666
2557.602319,317,605.820976
2479.55107,219,606.287957
2819.942955,662,607.777156
-706.85174,886,609.79308
2472.189797,338,610.551148
2437.423735,201,610.990682
2386.629831,262,611.638654
2503.830988,284,612.300504
2480.534655,337,613.096165
2531.774914,256,613.669904
2549.563726,478,614.756827
2432.486707,463,615.887963
1067.605298,1001,618.327036
-1022.349511,523,619.485578
2744.317559,640,620.871386
2595.896917,366,621.650515
524.192633,1001,623.882319
585.56936,1001,626.186686
2436.543519,302,626.826884
470.031,1001,629.528134
2434.463105,382,630.675703
537.6968,1001,633.132284
-995.042259,437,634.184111
1107.611955,1001,636.740839
2698.305492,439,637.954751
2565.810435,249,638.720927
2608.674436,503,639.950935
2607.198513,282,640.641258
2515.989284,266,641.397218
522.253531,1001,644.612994
413.601691,1001,647.194464
2546.738602,221,647.735497
2582.014151,292,648.453139
2582.852768,299,649.129047
2514.797332,223,649.623682
2465.411687,182,650.014544
1077.488171,1001,652.306007
2487.894546,226,652.808147
-1148.729974,244,653.342348
798.929704,1001,655.864722
-1124.100757,74,656.030097
469.175344,1001,658.214087
505.864166,1001,660.519096
-998.877596,845,662.373467
-1031.821398,505,663.476201
267.326774,1001,665.655479
802.827394,1001,667.841757
705.500239,1001,670.134908
2528.494313,283,670.770093
2542.707864,274,671.361224
