#{"t_start": 1607624430.4891129, "env_id": "Block-v1"}
r,l,t
2215.649435,188,182.289883
2071.056554,302,182.812037
70.923412,47,182.89958
-108.885146,11,182.916848
2224.186333,193,183.243115
2231.746437,171,183.534854
-1814.508974,434,184.278466
142.893183,192,184.622106
2062.231021,307,185.155392
2167.301829,245,185.571625
-562.758519,449,186.356631
2061.150348,304,186.885071
2092.628798,298,187.387545
2235.242925,148,187.643349
2244.326141,149,187.903399
82.118007,102,188.091334
1744.918841,620,189.149628
-108.701893,9,189.163786
2085.533022,288,189.655259
18.944222,84,189.799868
-1226.983549,49,189.884103
-92.694902,9,189.905633
1487.906112,781,191.242493
211.828982,162,191.523193
2210.65702,178,191.83313
2218.046102,167,192.129744
-412.015264,656,193.279515
2212.341251,178,193.586735
2250.848647,121,193.798972
2214.653043,148,194.062979
1997.882338,375,194.734793
176.403386,179,195.06463
-59.937491,5,195.073039
2220.755206,160,195.354952
1620.463771,645,196.48318
146.150063,191,196.82247
2091.783196,266,197.281758
2206.296572,159,197.559643
2209.850978,160,197.874391
2216.317039,143,198.124197
2262.598539,124,198.333147
86.213878,149,198.607766
1693.585385,597,199.645835
2256.734858,123,199.85954
-105.645949,8,199.872455
-443.634004,273,200.338536
2227.700162,148,200.598793
2128.238038,212,200.97129
2278.534505,106,201.150594
2270.673898,112,201.338176
-1243.440346,27,201.385537
2151.470393,205,201.747051
2232.732357,144,202.014691
96.878587,47,202.099548
-104.977898,7,202.110936
2200.309461,179,202.411548
-74.078109,8,202.430589
-1629.231095,253,202.87416
2178.243114,179,203.181008
-1667.4405,262,203.625765
16.158542,113,203.841656
2267.470854,106,204.025663
-1356.66701,77,204.160361
-1315.982902,29,204.210669
-1330.098463,43,204.281239
2243.879286,139,204.515049
-1146.044811,45,204.596125
-1583.717535,225,204.989321
2222.950865,135,205.218755
2234.859656,126,205.438877
29.115944,76,205.565513
-103.336449,18,205.599282
2289.193557,111,205.786508
2264.460444,116,206.02761
2032.2031,274,206.496534
2238.084419,121,206.714863
2263.650676,113,206.91669
2196.902403,135,207.163706
-173.806706,14,207.190268
168.322392,99,207.368045
1973.800724,369,208.011075
2248.078123,131,208.247255
2126.89961,205,208.608622
-92.421059,10,208.624793
2237.918611,131,208.847758
-124.034461,155,209.125382
2244.206235,119,209.338935
2261.692588,101,209.511951
2252.132618,115,209.705708
2172.732785,180,210.021334
-615.998342,486,210.878467
2284.784035,81,211.02277
-1187.00019,920,212.626564
2184.476844,159,212.903446
2091.039373,233,213.308432
2207.388395,149,213.572
-0.366698,7,213.582775
2201.928801,145,213.836359
2250.94898,133,214.070727
2262.294455,120,214.282654
73.198719,55,214.38328
2297.610816,79,214.521146
2167.808161,196,214.859778
2191.529938,181,215.17657
-1664.43932,247,215.613621
-489.236961,298,216.131209
2277.805157,80,216.263705
2267.175052,102,216.443039
2289.235227,100,216.626188
2251.292311,104,216.807425
2250.290282,119,217.021258
-585.182081,496,217.899845
2246.908456,106,218.089241
2195.225287,143,218.330458
-172.139565,43,218.401657
2285.762284,93,218.561349
2208.434057,148,218.827829
-1606.385534,297,219.340117
-1208.463166,51,219.431589
2256.963693,116,219.628562
-0.36316,4,219.635274
2295.31801,80,219.777757
2200.676932,148,220.043605
-1228.329978,42,220.115122
-1956.989442,477,220.938252
2322.299163,74,221.064919
2184.898818,160,221.339551
-112.40911,9,221.353606
6.689818,11,221.377324
2259.015083,122,221.588485
2236.971933,120,221.788342
2174.480366,160,222.077754
2187.111973,149,222.339044
-59.361477,23,222.381976
-1657.159242,223,222.766511
2224.424334,128,222.992118
-121.664651,28,223.045752
13.937213,48,223.130225
2187.552869,156,223.392743
-78.553125,9,223.406909
1816.048081,371,224.037486
2217.18522,152,224.308693
2220.998855,140,224.541457
2269.663571,92,224.701932
2305.670249,79,224.831401
-0.087055,2,224.835017
1954.745198,270,225.308034
2078.727824,215,225.662564
-1795.910928,365,226.289984
2270.428132,102,226.466657
39.669273,49,226.553835
-77.079718,8,226.566317
2045.555143,240,226.997663
-186.642939,40,227.071181
2252.514339,119,227.27014
2211.362068,155,227.547107
2236.16814,101,227.716245
2172.148766,151,227.978909
2272.507403,91,228.14119
64.092948,96,228.307971
2222.571405,149,228.56876
2277.249722,102,228.740288
2280.342681,90,228.895388
2209.558403,118,229.090578
2241.924987,108,229.276836
2123.795158,246,229.702623
-110.037307,8,229.721754
78.400038,180,230.045452
2253.595481,94,230.208617
-1745.171999,359,230.850124
-100.442017,9,230.871624
2255.591052,104,231.048896
2219.893222,149,231.30334
-1632.163934,254,231.743979
6.134713,32,231.798837
2161.159014,163,232.084135
2169.320549,162,232.356897
2290.020861,78,232.485602
2218.310975,141,232.731711
-70.364163,6,232.748687
1993.376637,280,233.224338
-84.059484,171,233.522658
-119.845534,9,233.53702
2248.73497,123,233.758469
2289.353133,87,233.914837
2241.307135,112,234.102878
2247.294656,120,234.310682
2218.672644,123,234.517549
2036.969964,204,234.872848
2240.450538,122,235.091581
161.755082,101,235.276101
2196.708508,161,235.555923
-2020.344472,493,236.405816
2173.523969,194,236.740969
-100.580824,8,236.753657
2289.98244,85,236.903411
-26.643673,23,236.945997
84.386613,37,237.016541
2221.898612,130,237.247294
2283.369253,80,237.387561
-107.477961,13,237.408937
2207.102544,149,237.660859
-1.198161,6,237.670126
2252.095224,114,237.86629
2269.215811,115,238.062352
-1259.794094,37,238.131053
-1289.044938,33,238.193808
2231.45419,136,238.428235
-132.221331,188,238.759834
2248.934492,102,238.942148
2238.609617,117,239.138152
1775.285834,397,239.820576
7.491501,8,239.832983
2195.817005,144,240.090945
-16.230054,233,240.505723
1968.544926,274,240.97524
2170.343742,159,241.242666
2257.093505,113,241.43568
2263.777041,95,241.595016
-179.413449,13,241.614774
2248.330909,98,241.780671
2297.363194,74,241.917047
127.775919,175,242.229062
2279.126915,98,242.394288
-1669.043982,278,242.865978
-768.469131,625,243.973577
-43.400645,5,243.988585
1441.22026,629,245.084168
-95.198668,10,245.105998
2058.475054,218,245.474012
-24.562831,9,245.499085
2272.898128,88,245.644148
23.041457,42,245.721317
2073.993469,193,246.055473
2159.898161,157,246.338526
2279.31658,81,246.478321
2120.821142,177,246.787126
-1276.919055,28,246.836912
2309.04121,77,246.970117
2266.941957,84,247.117378
-1582.533648,169,247.416993
-22.852553,35,247.485118
2257.973087,110,247.676456
2194.072065,130,247.904986
2281.976818,106,248.093351
1642.471795,444,248.860603
2169.158538,149,249.120986
224.096462,62,249.226795
2236.424856,113,249.422108
2267.478151,93,249.594488
2134.731607,152,249.857147
-117.896309,31,249.915104
2280.125684,82,250.058177
-1617.311289,220,250.433549
2317.666525,58,250.537278
2286.461083,74,250.673836
-21.219473,178,250.994909
2287.034565,73,251.117297
2107.924735,193,251.443657
-79.875714,11,251.460467
2279.332276,97,251.629094
-103.639542,9,251.651264
2198.35269,129,251.885061
-121.437636,9,251.900081
2084.52664,171,252.190244
2177.91072,131,252.417022
2291.566782,70,252.540758
-77.167228,11,252.564601
2266.828532,93,252.72799
-31.290198,4,252.73541
2243.815472,111,252.937162
-1610.872116,221,253.317414
2186.147849,118,253.523363
-1575.387582,204,253.883325
2276.154775,77,254.019619
2272.341356,85,254.160814
2231.191007,111,254.359369
212.868585,74,254.486747
2262.143411,98,254.655168
-802.590878,903,256.261736
-139.409743,16,256.293326
1832.319096,375,256.93738
2203.944607,137,257.180801
101.611688,27,257.227489
2274.018904,92,257.385154
2255.425909,106,257.564889
2202.404459,133,257.798015
-7.10591,32,257.854991
141.327866,83,258.000937
2166.979965,164,258.291943
2225.535398,118,258.490138
-110.51773,10,258.511968
2291.233717,73,258.634875
2241.47986,103,258.807611
2263.417897,105,258.99846
2155.817598,155,259.268447
2212.255015,96,259.430367
5.902978,6,259.44647
-12.829521,171,259.739155
-1205.839105,16,259.764301
1763.846543,403,260.476544
1921.892776,288,260.978965
-136.171781,15,261.009141
2292.228128,67,261.124064
-10.591348,7,261.135406
2261.014755,106,261.322108
199.790579,99,261.499208
-1902.77499,459,262.311071
2238.717748,89,262.467872
2249.230651,100,262.644407
1913.609715,269,263.116561
56.425866,84,263.262587
-150.789089,17,263.288589
2236.182054,112,263.484363
2275.234826,89,263.63767
2279.795711,82,263.781485
2241.773209,113,263.977022
-1216.014323,24,264.020601
2184.052916,151,264.282127
-706.18506,413,265.012408
1966.565196,269,265.473409
2245.449413,97,265.649561
2218.533093,112,265.846268
-1811.721844,331,266.439853
-361.397161,192,266.784108
2109.758787,204,267.147346
2237.151528,102,267.330818
-1601.43412,209,267.686541
-1261.066061,17,267.719681
2228.540499,135,267.950109
-1567.219251,203,268.29912
-96.81915,9,268.320036
184.138684,122,268.537355
2261.803232,102,268.717949
-2196.086804,551,269.682553
2236.087275,119,269.884053
2112.384283,201,270.233728
-14.202723,28,270.28489
2200.388326,138,270.535074
2221.861104,112,270.724349
2206.967061,117,270.92776
2230.539327,122,271.136686
-1485.682474,133,271.363281
-19.354822,6,271.373288
-104.153004,8,271.393759
2141.379297,164,271.679796
2240.09256,103,271.858282
191.503595,98,272.027853
-359.952064,48,272.105537
2217.30594,126,272.317856
1935.692069,287,272.808622
2276.002396,81,272.963996
2143.422572,165,273.240035
2278.185617,86,273.387861
2292.938599,71,273.512943
-68.742408,26,273.560399
61.105448,111,273.746356
2156.745412,138,273.9976
1928.205448,260,274.438313
-113.661702,9,274.452203
2255.020149,101,274.62477
2297.831641,72,274.746649
2136.998646,182,275.079956
-1692.465121,228,275.472579
10.855375,11,275.489948
2217.364281,118,275.694
2213.015046,135,275.929285
2186.549902,128,276.168173
-1236.268992,26,276.215939
2232.513048,105,276.394068
-1251.616429,39,276.468113
-73.067834,10,276.483914
2275.85298,84,276.631601
2218.173033,121,276.837054
2237.362584,101,277.027803
-165.720986,39,277.093884
-24.964591,95,277.254793
2056.94772,216,277.617115
-2084.794903,598,278.704267
2217.586901,116,278.910941
168.528253,71,279.032188
2237.666406,130,279.252964
2267.876682,81,279.403376
-9.601112,7,279.417903
2248.537164,121,279.632159
2107.483593,179,279.934296
-1799.150692,306,280.470769
2200.225862,137,280.727025
-129.520548,11,280.744214
-149.477288,29,280.796771
2253.526006,100,280.970087
2201.048252,133,281.212271
2226.624164,110,281.399936
2289.774536,72,281.522497
2181.112478,143,281.770312
2230.802612,121,281.98516
2190.506293,123,282.198977
-123.775579,21,282.238964
88.576912,178,282.546104
-2116.884704,505,283.417374
2058.500129,207,283.772337
2241.855487,108,283.957575
-77.374632,181,284.275542
-2103.625264,481,285.106128
2202.016938,112,285.297333
2276.375981,84,285.459074
-332.217081,324,286.022096
-172.88543,13,286.048245
-1211.847748,45,286.122991
2269.348594,89,286.27606
2241.967885,123,286.501733
-1563.520053,193,286.842079
2267.904948,89,286.993538
2284.673135,84,287.139362
-76.718103,7,287.150516
2264.610805,77,287.285093
-1258.25854,17,287.31094
2196.97244,143,287.562979
5.623443,121,287.772948
2138.221968,149,288.032225
2181.487016,132,288.255267
2243.238218,103,288.429936
2216.165275,120,288.645677
2190.222072,135,288.883313
-1937.394208,362,289.518399
-6.105709,1,289.520508
2264.740368,94,289.695115
2260.547796,93,289.85869
2246.143328,112,290.053496
1819.770713,375,290.702798
2248.454582,115,290.907418
-92.1849,11,290.931238
-88.797382,201,291.273866
-77.401024,9,291.287751
2276.175402,93,291.446537
2270.599456,85,291.592659
2183.167089,137,291.838923
1950.499043,265,292.287616
-1833.477547,390,292.9831
5.229404,22,293.016738
2181.005354,154,293.282268
2258.674594,109,293.471213
-1787.727904,292,293.981556
2153.541847,171,294.272398
1969.874177,259,294.718367
-30.768593,16,294.749839
2259.155376,91,294.903425
2219.433038,129,295.12791
2126.525809,155,295.39096
2202.848618,118,295.594434
2320.399591,63,295.700997
-82.055607,9,295.71548
-1695.196833,280,296.218311
-163.205802,156,296.488497
-163.199455,12,296.506855
2140.15082,194,296.839782
-1654.239015,243,297.277292
-1288.190769,27,297.324564
2181.760894,164,297.60482
-1681.9464,252,298.042472
-73.04418,109,298.2408
-1812.640805,321,298.78961
2199.06807,142,299.039145
-1243.055386,36,299.100763
2133.445591,179,299.409103
2163.341838,133,299.640135
2213.039406,130,299.865242
-41.333003,60,299.964379
2239.672465,101,300.140127
-106.809491,9,300.155476
-1728.746882,266,300.610372
-13.181937,7,300.621348
-1466.027804,111,300.814614
2220.200126,114,301.007241
2240.42099,116,301.208645
-1242.795369,42,301.279531
-1190.945558,14,301.3073
2238.786002,110,301.508098
77.953118,111,301.704904
-1272.663806,65,301.825418
2249.7154,91,301.999544
2293.976555,73,302.135422
2248.051362,110,302.340361
2184.189777,149,302.620663
-1502.049235,118,302.840992
2214.609242,125,303.074344
-89.822155,8,303.087808
2231.078269,107,303.287306
72.063352,155,303.567426
2241.95173,115,303.784602
2169.881909,148,304.064347
2228.811154,118,304.280823
-1312.332261,71,304.411466
2238.23271,103,304.598236
2165.433951,151,304.885678
2269.681138,97,305.059109
2246.832192,90,305.218333
200.084571,108,305.400789
-109.833976,9,305.421681
2230.068985,115,305.612195
2192.81176,132,305.839673
2234.258437,119,306.064759
-110.324009,10,306.082707
2139.03329,150,306.355124
2276.483296,87,306.507721
-1622.804143,230,306.928499
-7.655237,9,306.942857
2204.636309,124,307.154657
14.053856,16,307.188221
2262.997498,104,307.365751
2210.797952,136,307.593571
2263.519094,98,307.765014
2212.506736,122,307.981829
2200.672676,131,308.205343
-61.879348,10,308.225152
2281.37608,84,308.370652
-1720.402669,243,308.803727
-6.824261,73,308.93799
1990.040678,232,309.345342
2226.677106,129,309.560791
2283.080754,79,309.696357
-878.012159,561,310.674933
-1390.80558,100,310.859729
2215.865472,108,311.06675
-2023.722003,646,312.269526
-43.378927,147,312.539819
2238.607732,115,312.734626
2179.08748,131,312.957742
-1221.855285,22,312.998248
2281.794395,83,313.13664
2230.891583,92,313.312315
2264.755789,70,313.444836
-1745.249705,262,313.94223
-86.70137,9,313.958413
2235.853849,105,314.159154
2246.009292,99,314.338492
-18.981094,13,314.370755
2263.568527,89,314.527754
2008.737428,218,314.922208
2205.577256,130,315.157474
2158.444021,143,315.432255
126.721286,103,315.628003
2237.421431,90,315.800749
-119.932618,12,315.821584
-1361.70069,98,316.014949
15.593162,7,316.032615
-225.388697,111,316.220829
2181.944363,103,316.3951
-1776.820817,261,316.839098
2261.496499,95,317.00404
2280.944405,93,317.16254
2204.635801,128,317.379568
2272.690258,84,317.524045
2153.892262,136,317.759737
231.65899,101,317.943663
1918.804488,318,318.507915
2258.051275,79,318.657917
-112.137745,8,318.671638
-119.756255,23,318.717051
2290.83787,84,318.859944
2331.022642,47,318.954228
-1725.980478,268,319.451271
2257.413615,96,319.632532
79.47312,78,319.780345
2081.746194,197,320.140463
2228.324963,112,320.334986
2184.812086,127,320.55588
2231.966178,101,320.743563
2240.892377,107,320.963677
2001.659949,216,321.3793
-83.634879,8,321.402185
2295.853264,72,321.541247
141.751715,61,321.655684
2235.487692,94,321.833046
-89.396574,22,321.875199
-86.230033,11,321.905835
2148.269864,141,322.172445
2211.51731,115,322.392006
2298.86496,73,322.526756
2207.599122,122,322.755558
-1536.273607,129,323.005717
-758.682526,294,323.555162
-1367.389993,53,323.656274
2248.382702,92,323.826526
2183.336303,123,324.051885
-1177.720338,14,324.08329
2255.511771,96,324.256781
2268.481048,92,324.429871
2179.18926,134,324.678775
-170.766075,15,324.705293
2292.209965,81,324.862786
-401.912612,301,325.443836
114.326876,61,325.560881
2090.03302,175,325.879376
-1187.150353,39,325.949056
-1865.379743,324,326.53724
2220.490468,101,326.728452
2268.94381,84,326.889253
2206.135219,142,327.161237
196.222358,75,327.299199
2272.324714,81,327.445545
-94.658481,12,327.472717
2290.281712,83,327.615472
2272.262015,90,327.783176
-1718.956312,282,328.318157
2282.618109,83,328.471519
-118.563252,8,328.491403
2187.524832,138,328.747335
2195.318784,119,328.975265
2295.022285,85,329.123456
-2.262533,20,329.161909
-107.949793,12,329.182254
-1734.587299,302,329.722949
-1945.174854,456,330.507394
2137.033332,187,330.870213
-272.200755,37,330.937878
6.529741,7,330.949817
105.28012,50,331.049097
2133.496197,163,331.352086
2177.275015,142,331.611978
2250.733926,90,331.781064
2237.783878,120,332.006584
2164.111787,132,332.257063
2218.325064,107,332.447181
2229.743481,95,332.630762
2258.433481,100,332.81779
0.650903,2,332.830795
2261.868843,96,333.014878
2266.126468,87,333.174457
-847.568139,818,334.720345
2240.974973,101,334.918038
2277.024519,98,335.09545
