#{"t_start": 1607933394.403129, "env_id": "Block-v5"}
r,l,t
350.591277,1000,1.602887
-1109.845218,50,1.697846
311.247496,292,2.160366
529.235109,709,3.30227
-38.712297,35,3.356724
-1243.558722,77,3.4724
-1204.6655,103,3.631874
-1215.199067,206,3.958621
-1244.423731,234,4.328393
-1207.398953,85,4.462627
484.447624,842,5.816195
-41.123585,159,6.079747
-82.982037,179,6.365938
-27.838267,168,6.635725
42.942291,22,6.675352
-1185.666472,236,7.04525
-258.255269,895,8.484733
-45.443808,86,8.624442
4.620696,16,8.648768
-8.739181,4,8.655073
-115.436333,361,9.223055
84.621488,263,9.650072
296.066685,377,10.242865
-167.193659,148,10.478184
-128.72455,119,10.666183
-79.477397,292,11.127638
107.882721,259,11.544906
-213.70818,183,11.836659
4.751732,97,11.989689
-1187.80622,157,12.235563
-1043.473181,414,12.904321
-62.306591,238,13.280041
-118.541704,78,13.40484
147.638746,113,13.583289
-123.315784,158,13.836046
-1102.169665,33,13.884553
-1053.508618,53,13.969855
-1093.670834,89,14.108435
-1275.242668,88,14.251728
2186.548322,195,14.565383
-1238.783673,362,15.143971
-93.26888,188,15.43943
-1111.455537,328,15.962178
-75.853549,382,16.577336
-1195.139476,49,16.653343
-292.103949,168,16.926838
-1191.316854,54,17.01537
15.970472,122,17.210189
-219.090114,58,17.303399
-14.010992,16,17.327522
-78.527007,139,17.545733
-1160.815433,66,17.657336
-1085.970916,258,18.068077
96.645038,96,18.22248
2522.308752,504,19.017118
-977.901152,366,19.609011
-1151.029077,856,20.967129
-1097.257405,104,21.128525
2335.502781,342,21.705969
-62.2345,69,21.850333
-1170.61196,111,22.075871
2675.909789,468,22.954662
2373.175438,472,23.707566
-1288.507076,72,23.822345
-71.466554,357,24.393
-48.688589,77,24.51476
13.095149,184,24.802746
-1079.027893,310,25.295677
-1200.24526,46,25.364952
226.32392,221,25.718137
3.737105,263,26.142141
-8.392858,10,26.157279
-1139.447136,211,26.486546
-10.021826,10,26.508148
44.191865,208,26.835277
2589.870366,383,27.451883
-954.11621,480,28.229958
-1145.152119,44,28.301781
-1254.255635,69,28.412009
9.06857,183,28.704515
79.816245,143,28.929683
-119.619067,247,29.331222
-1234.167911,75,29.446664
2639.434033,525,30.277917
-1329.537054,439,30.981273
-72.350874,57,31.073687
241.406711,651,32.104526
39.865621,293,32.577019
8.974276,39,32.633773
-104.854177,52,32.717249
-1097.408337,272,33.156111
-147.315312,595,34.105875
-1102.113482,359,34.672064
-1244.42563,59,34.767275
-1156.10602,67,34.873473
-55.052864,32,34.927045
-16.690596,7,34.937877
-153.866174,277,35.383358
-95.741743,164,35.647782
-1097.876539,320,36.156244
-193.689072,110,36.333116
-48.713698,40,36.393443
-1094.651398,43,36.46268
-1107.729271,263,36.8804
-1105.002078,109,37.062979
-1122.752647,72,37.178084
-1053.83791,31,37.22433
-1.095016,151,37.465298
62.147887,540,38.32184
31.165706,188,38.62752
-225.527126,122,38.820076
236.879377,167,39.083923
-51.040788,97,39.236375
503.110513,702,40.375955
-42.326406,32,40.429099
-1.883841,3,40.434629
-1121.678609,251,40.831389
-1338.133323,212,41.165709
2785.569064,787,42.421914
