#{"t_start": 1607854762.424312, "env_id": "Block-v4"}
r,l,t
-705.11648,123,2.496222
139.490951,68,2.659045
639.425825,103,2.900644
195.31523,75,3.078889
3147.716063,467,4.180136
490.185292,164,4.561978
68.396115,26,4.656585
-820.355388,60,4.79896
-623.708212,110,5.059338
-168.132084,197,5.523452
1785.970156,317,6.307262
1179.608121,291,7.014608
772.143025,278,7.78031
566.874495,279,8.595328
2616.00016,444,9.786569
-734.766138,54,9.923983
6175.128841,684,11.565681
8.196156,220,12.089534
303.320518,43,12.211471
5737.765028,596,13.632425
2957.338818,405,14.613473
7638.180414,761,16.452718
1754.921197,240,17.05126
7470.71645,1001,19.488842
7346.314829,1001,21.986466
5692.162613,798,23.915458
1487.669915,203,24.428859
-189.385337,113,24.707893
4957.908341,888,26.864765
-122.33885,118,27.1539
233.518205,171,27.566517
280.856508,173,27.985765
81.907202,158,28.365073
2830.22824,381,29.284866
-221.907355,107,29.550433
888.434602,336,30.359549
-1164.930161,268,31.006342
-594.543056,55,31.140701
39.416795,141,31.479187
663.294248,94,31.719922
5826.547159,860,33.816679
-159.373291,120,34.104775
128.962479,21,34.169748
4841.054972,1001,36.590685
6364.42579,1001,39.042749
-179.821487,170,39.461266
7587.340476,749,41.258706
548.304259,82,41.472014
-696.598128,44,41.579264
614.548716,84,41.782694
2755.401763,386,42.707663
905.515161,159,43.104219
2255.204514,328,43.917975
277.711512,42,44.017812
5683.263976,833,46.009112
881.878688,126,46.328117
5085.539496,578,47.710793
2286.579106,343,48.556995
126.071368,24,48.621176
362.440519,56,48.768383
244.829024,180,49.201189
-610.086528,58,49.343056
-860.797206,24,49.398601
1226.462998,306,50.14145
-732.486912,140,50.477551
1715.538965,293,51.187374
378.482992,425,52.204407
840.582837,123,52.500397
163.859011,27,52.563492
96.814558,19,52.610393
720.893922,269,53.267735
538.771145,89,53.487788
316.207928,49,53.613778
-758.874864,313,54.365542
4533.558029,688,56.017628
-460.909444,78,56.201065
163.407094,37,56.294059
2433.053449,744,58.05556
-691.995249,52,58.195141
525.305923,90,58.428483
231.715485,56,58.562517
-558.493198,75,58.749265
388.081705,63,58.901459
4396.732438,807,60.829844
-164.188864,149,61.190119
-578.487808,71,61.359704
89.688601,16,61.397212
-321.677866,145,61.742591
514.353378,116,62.01876
-631.469962,115,62.294137
2107.937105,308,63.030904
-720.884328,48,63.152114
156.902444,33,63.251222
-1100.075824,62,63.408052
-563.859922,92,63.632549
-167.646676,116,63.914811
1959.737503,657,65.486506
514.726494,74,65.672645
-896.781551,160,66.057579
1229.531667,194,66.521249
334.279815,108,66.781966
-1.428382,149,67.137836
4604.461108,367,68.013515
121.344026,23,68.081296
-802.075972,35,68.165425
-53.382466,130,68.489867
-673.436938,56,68.628029
5771.58386,657,70.202855
-592.940312,60,70.348995
413.31796,63,70.51526
731.870491,237,71.080007
55.836353,12,71.113747
180.624989,32,71.188982
20.250905,146,71.539835
-559.752089,97,71.775434
-205.99451,118,72.055822
753.73418,254,72.667371
735.379106,105,72.932899
-386.616283,110,73.201012
80.154892,31,73.27963
4721.028613,552,74.6266
2276.329177,308,75.374831
5042.20267,846,77.414223
308.22122,66,77.576714
-725.055446,43,77.677148
288.971497,46,77.800892
516.061746,213,78.316896
2272.101502,502,79.542519
137.309033,173,79.959458
-669.662579,63,80.113255
346.29689,50,80.25259
1262.553348,333,81.058035
-305.815082,192,81.522166
683.245344,264,82.14976
-763.984694,47,82.266737
1052.393851,165,82.685067
188.549704,194,83.152937
133.370385,244,83.753745
-621.524783,123,84.056041
-415.214821,88,84.269443
811.76351,258,84.887582
384.360106,94,85.129552
384.093639,226,85.668909
-442.497929,107,85.92788
-745.84579,45,86.036798
-706.565669,68,86.200035
-1033.254029,29,86.272346
-342.945022,97,86.503165
576.664167,221,87.033815
1494.447427,208,87.541192
-692.197949,50,87.662931
471.123334,74,87.843684
-62.845882,172,88.254561
-718.214488,42,88.360157
4524.642887,588,89.783397
528.286215,75,89.978733
2137.866242,315,90.736043
-14.925524,178,91.164733
-269.502899,133,91.484197
2327.663165,375,92.386795
-783.501973,35,92.471267
566.625525,136,92.793402
-387.293995,137,93.1187
4726.136478,693,94.802751
784.678321,149,95.163408
-141.177938,121,95.452585
5176.946155,731,97.202936
