#{"t_start": 1607825322.857471, "env_id": "Block-v3"}
r,l,t
-1202.360506,786,1.678537
56.183515,69,1.819469
-19.361242,96,2.024335
-188.966831,49,2.123769
-211.242535,224,2.605026
-1508.694942,113,2.842147
-1381.168548,82,3.011027
-490.275489,244,3.516296
-718.248612,337,4.218561
-0.917417,1,4.22897
-1554.600196,179,4.602883
-299.742546,181,4.983679
-48.49771,53,5.092419
-1361.296901,60,5.217526
-655.466482,253,5.748317
-532.534728,222,6.214932
-203.958618,35,6.28848
-50.426646,18,6.332827
-76.753859,30,6.395684
-21.143048,27,6.451651
-479.773938,124,6.713666
-106.476334,66,6.851022
-282.633074,87,7.035947
-15.030216,28,7.094351
-136.780158,106,7.315508
-388.160317,107,7.541475
10.407329,26,7.59534
-3.317591,11,7.617668
-27.341307,25,7.669507
-87.889647,73,7.826514
-172.647247,40,7.91319
-241.496962,90,8.103113
-6.1704,63,8.239918
-80.222141,98,8.474846
-1475.813497,114,8.723142
-161.286757,64,8.86506
-69.447023,38,8.945533
-34.543662,17,8.985624
-200.85138,48,9.0881
-26.825001,18,9.130082
19.127278,22,9.178146
76.741198,51,9.288998
-218.940888,39,9.37521
-32.008247,93,9.730682
-344.407722,61,9.873507
-59.423212,21,9.918655
-23.056988,24,9.969761
-176.645349,38,10.055681
20.769447,36,10.129986
-78.434976,26,10.183856
-77.516796,36,10.259279
-22.774211,18,10.30163
-10.900031,30,10.364657
-71.974149,28,10.441622
-21.74876,9,10.469521
-26.16585,21,10.529125
-0.550712,11,10.556249
-57.905029,22,10.601999
-27.115172,27,10.660647
-39.297325,21,10.713571
-268.310563,68,10.88835
-73.212146,32,10.95823
-72.92476,18,10.995661
-2.55231,11,11.019174
-29.932714,20,11.077366
-271.92057,76,11.250797
-157.128656,110,11.482701
-10.961088,38,11.613788
13.861824,55,11.755849
-88.439234,30,11.820127
-29.586323,21,11.864528
-29.853391,31,11.93253
-26.812019,20,11.975151
-44.398356,18,12.011194
-21.18978,22,12.060148
-2.430771,15,12.092609
-75.79322,35,12.166216
-43.553266,21,12.209437
-92.265435,20,12.250901
-96.208604,33,12.317813
-23.432263,30,12.381167
-175.076,41,12.471651
4.470053,18,12.507558
-26.30835,14,12.538741
-18.631949,30,12.602598
-241.063033,44,12.69728
-14.551042,9,12.717554
-49.406809,19,12.753419
-10.694167,18,12.793084
20.181605,16,12.82549
-19.882881,15,12.856564
22.997367,15,12.888566
-132.283858,98,13.096014
-41.324551,8,13.126436
-51.358166,22,13.175664
-29.998166,18,13.211088
-13.898985,7,13.228922
-315.846927,63,13.359487
-231.023035,41,13.450188
-158.729065,89,13.634628
-163.321774,57,13.756862
-24.322763,24,13.808197
-12.437471,27,13.863465
-319.4853,50,13.971972
-97.468048,22,14.019138
-15.210978,27,14.080189
-215.720671,90,14.273195
-43.582326,16,14.306878
-9.498266,21,14.351826
-84.693492,45,14.446549
-19.154197,21,14.490422
-117.30847,30,14.553616
