#{"t_start": 1607899631.581736, "env_id": "Block-v4"}
r,l,t
187.309054,40,0.067125
5513.742747,652,0.964511
353.781651,62,1.046953
1855.465508,246,1.381711
2800.78966,366,1.898038
1873.270558,388,2.419768
-112.14816,137,2.608929
796.141881,85,2.722873
214.443056,25,2.760453
-458.84294,110,2.918765
497.972841,67,3.007963
-44.566345,180,3.254704
5552.739264,406,3.801488
-343.493717,109,3.955313
563.204095,78,4.059484
276.890752,51,4.131863
1935.676659,392,4.674484
661.734742,70,4.767538
338.731237,39,4.82037
390.051035,68,4.911022
3618.273159,432,5.502077
-26.37454,159,5.725821
1412.164974,329,6.169103
1855.384856,226,6.478724
4640.95923,284,6.867382
-4.23823,3,6.872987
-281.942575,134,7.060841
3174.180297,423,7.629603
-606.939952,69,7.721408
-717.863668,66,7.817824
2424.677834,309,8.242657
4051.871106,667,9.152393
1310.871119,328,9.595316
58.675411,6,9.610284
380.369351,216,9.906144
9.185692,8,9.917554
363.033282,189,10.170295
4557.995487,588,10.980783
1422.70372,190,11.242428
-87.386893,142,11.432436
-902.331633,47,11.495562
1432.651812,339,11.973625
-345.272293,104,12.11441
-745.000271,71,12.212382
54.04866,13,12.230136
-556.960363,81,12.347545
51.783188,14,12.372231
8463.848002,756,13.569256
2258.348983,239,13.962232
62.429008,6,13.974863
6319.164817,937,15.405169
458.48972,64,15.505943
462.880758,66,15.594602
7453.035079,935,16.894296
-561.140635,73,17.000608
3950.426303,474,17.662386
1361.027722,181,17.905935
91.914483,167,18.141908
677.006322,106,18.294708
1404.572775,327,18.765991
39.886351,151,18.972331
3717.777236,462,19.627852
434.69897,43,19.686692
100.654128,18,19.719133
1165.884992,167,19.964898
2719.452567,520,20.691498
2181.831509,272,21.065285
284.61154,42,21.128964
8280.271797,1001,22.900798
1164.186499,143,23.174234
6677.766719,858,24.389641
566.494131,102,24.528553
821.720268,251,24.920812
1791.498012,373,25.442371
-519.432691,94,25.569346
1299.939935,181,25.830526
4400.843103,735,26.845636
1970.283211,266,27.221726
688.854297,92,27.351832
974.724989,112,27.510608
228.239815,48,27.57569
1450.79492,372,28.080912
2928.399535,377,28.621615
818.152828,98,28.760746
-259.212602,132,28.950582
356.950278,52,29.021495
-606.896119,88,29.140126
914.665468,280,29.530079
3136.90754,351,30.030152
-40.448656,24,30.067126
-675.140778,62,30.150547
5437.157478,378,30.670693
3303.62182,401,31.224163
1038.153585,136,31.431521
-598.669917,65,31.520847
-648.373988,64,31.608975
7200.925168,872,32.812575
7972.722157,1001,34.22905
-2.182662,7,34.240159
364.576494,58,34.331401
-391.549936,102,34.469485
1023.024223,154,34.683364
5294.518962,372,35.187226
-419.737866,96,35.317537
540.157728,72,35.422583
920.520631,137,35.621334
17.44116,3,35.626124
296.332329,215,35.924553
261.152376,200,36.200397
1426.99176,154,36.456134
3551.64176,432,37.082602
2830.656897,348,37.577295
5315.096463,653,38.479256
