#{"t_start": 1607815721.2217143, "env_id": "Block-v1"}
r,l,t
-503.703743,1000,3.892361
-1202.309499,160,4.312613
-93.196133,29,4.402692
-545.077208,812,6.431061
-532.349109,1001,8.841494
-322.045577,1001,11.260084
-707.306427,1001,13.81173
-638.32995,1001,16.587209
-633.354672,1001,19.368852
-112.142559,9,19.388155
-412.253206,992,21.806688
-79.608386,11,21.834251
-1211.053482,45,21.942436
-1409.878077,424,22.961169
-382.70027,521,24.217609
-69.543193,9,24.243838
-1253.585222,32,24.320427
-73.427701,10,24.344952
-1221.287459,33,24.428985
-535.487098,917,26.684385
-293.757377,1001,29.119021
-1416.776044,588,30.55865
-294.199468,413,31.571912
-1170.800045,157,31.947656
-1293.054796,36,32.035016
-474.389123,808,34.031642
-592.376607,1001,36.479948
-388.498225,1001,38.915934
-473.905242,1001,41.358937
-499.981695,1001,43.777103
-140.558004,23,43.830021
-386.772331,978,46.216868
-345.589191,1001,48.631093
-399.475895,1001,51.073824
-407.58081,1001,53.539003
1955.946549,897,55.719594
-43.061102,104,55.993242
1923.940911,962,58.311594
-3.494339,39,58.434789
-52.497338,24,58.493795
-90.484798,10,58.518509
-90.067366,10,58.543002
1895.604027,950,60.861495
17.451778,7,60.878631
2035.829947,681,62.536523
-102.607499,320,63.342448
-504.767505,1001,65.796059
-377.624319,1001,68.200564
2043.424977,711,69.886529
88.346466,290,70.595944
2125.358696,530,71.890558
142.75014,471,73.058197
-55.940764,22,73.108997
2130.091052,385,74.032999
2184.762207,326,74.816967
2196.336481,258,75.453833
-5.652367,10,75.478738
2179.537108,261,76.118817
2122.078607,336,76.931403
2218.846371,222,77.460109
-92.072606,8,77.482447
41.162447,174,77.917779
2204.488193,179,78.345918
2110.842156,319,79.110877
2218.527995,205,79.599813
2129.390721,272,80.264794
-69.617094,9,80.292665
-5.475607,17,80.338414
2149.2092,329,81.120918
2258.84679,163,81.516404
2197.459953,269,82.161085
-54.927562,240,82.766089
2118.745072,325,83.543973
2185.675876,271,84.192703
2246.945676,201,84.676644
176.238894,204,85.190427
2110.258653,336,85.999205
2112.623291,378,86.945785
2186.047513,276,87.633479
14.078684,11,87.65935
2129.804736,372,88.55732
2167.754192,310,89.306529
2175.123857,286,90.013573
