#{"t_start": 1607930469.6570535, "env_id": "Block-v4"}
r,l,t
-1103.486086,86,0.365057
-29.284167,15,0.41532
-189.116978,209,1.156354
-124.016102,61,1.346776
-1050.399906,65,1.533171
-1054.303805,35,1.636974
-1027.514112,10,1.664485
-1492.036741,478,3.126447
-81.947194,41,3.252959
-1036.099134,26,3.356947
-1012.706273,7,3.374682
-1038.320251,22,3.439653
-1020.591609,11,3.471045
-1005.739247,4,3.482845
-15.488335,8,3.50529
-1006.294221,3,3.51265
-1482.245369,333,4.667341
-1036.922537,28,4.768432
-1140.771793,75,5.064972
-1006.436136,4,5.080816
-1104.931008,54,5.292019
-1205.024645,121,5.738105
-244.288435,188,6.430128
-1002.946447,5,6.444003
-71.792136,48,6.604397
-1004.573232,3,6.613531
-1028.590932,13,6.650551
-1006.143593,5,6.667413
-1092.111497,41,6.802248
-3.394657,2,6.815457
-145.639696,155,7.331884
-1001.820083,2,7.338995
-1005.294983,3,7.351573
-1035.256196,22,7.447945
-1026.828221,17,7.508877
-18.921902,6,7.530123
-1037.593818,21,7.60212
-1009.690652,4,7.616901
-717.662572,771,10.440784
-1001.674005,2,10.447191
-1002.718395,3,10.458957
-1006.434813,4,10.4844
-1036.601047,20,10.539132
-1115.234464,103,10.837386
-1087.972566,58,11.013556
-1002.426491,2,11.018535
-1019.300178,11,11.058358
-1011.160503,6,11.075375
-1084.247607,35,11.16435
-10.764474,8,11.186296
-1028.613374,13,11.23126
-1053.386771,36,11.32929
-1043.393972,29,11.417954
-112.283688,102,11.698343
-1108.178448,55,11.856725
-167.341306,145,12.268217
-1023.058546,13,12.300228
-1022.304828,14,12.349101
-1141.080488,98,12.609044
-1002.412939,2,12.614684
-1057.838959,50,12.796674
-1203.057628,154,13.357378
-1012.186966,7,13.398717
-23.029667,31,13.513923
-1050.882919,35,13.65921
-1049.05216,30,13.762881
-500.855975,546,15.812782
-1052.117087,36,15.942955
-1019.127688,9,15.972519
-1013.21853,11,16.013512
-1019.660962,13,16.075917
-1039.673493,22,16.154417
-11.720764,13,16.204034
-1106.430104,55,16.427295
-1011.133369,6,16.450969
-1120.819306,62,16.702878
-151.238694,163,17.215864
-1004.504407,3,17.225375
-1025.882394,17,17.273476
-1095.936504,71,17.522268
-1029.270834,20,17.578841
-43.41804,38,17.69819
-1016.226726,16,17.746722
-1070.568122,59,17.918253
-1751.306207,573,19.662207
-1072.602782,27,19.7486
-245.784993,177,20.377547
-251.231999,220,21.212367
-1174.314644,114,21.561774
-1010.002908,6,21.579228
-1018.697785,16,21.628551
-1030.320348,26,21.712367
-361.291065,353,22.900877
-1073.440628,66,23.141669
-1087.734947,73,23.410064
-1026.256742,18,23.467909
-12.096003,11,23.510121
-12.219782,40,23.664009
-47.512466,58,23.891189
-1001.78436,2,23.901719
-159.584283,125,24.378733
-1043.335184,30,24.493884
-1027.928013,12,24.551719
-1097.68746,54,24.739435
-1106.197039,58,24.941241
-1007.979355,7,24.96071
-1014.581474,9,24.99765
-1207.264715,159,25.468559
-61.004181,49,25.609628
-1012.250536,14,25.64746
-1014.160571,11,25.681396
-344.807335,262,26.463504
-1031.83451,31,26.562808
-166.989952,178,27.105584
-1022.294656,18,27.166408
